epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.9231,3.28334,0.375,0.77296,2.74526,9.88958e-05,9.88958e-05,9.88958e-05
2,38.0594,2.34215,0.82143,0.98469,1.22517,0.000195938,0.000195938,0.000195938
3,55.5683,1.16481,0.94643,0.99235,0.28638,0.00028898,0.00028898,0.00028898
4,73.2848,0.43525,0.96684,0.99745,0.13743,0.000285002,0.000285002,0.000285002
5,90.7553,0.23238,0.97959,1,0.07897,0.000279002,0.000279002,0.000279002
6,107.405,0.15933,0.9898,1,0.04829,0.000273003,0.000273003,0.000273003
7,124.07,0.12759,0.99235,1,0.03868,0.000267004,0.000267004,0.000267004
8,140.508,0.10128,0.99235,1,0.03254,0.000261004,0.000261004,0.000261004
9,157.48,0.09149,0.9949,1,0.02463,0.000255005,0.000255005,0.000255005
10,174.285,0.07489,0.9949,1,0.02635,0.000249005,0.000249005,0.000249005
11,190.665,0.07333,0.9949,1,0.02065,0.000243006,0.000243006,0.000243006
12,206.98,0.0696,0.99745,1,0.01749,0.000237007,0.000237007,0.000237007
13,223.862,0.06753,0.9949,1,0.02633,0.000231007,0.000231007,0.000231007
14,239.963,0.05978,0.9898,1,0.02159,0.000225008,0.000225008,0.000225008
15,256.199,0.05298,0.9949,1,0.0142,0.000219008,0.000219008,0.000219008
16,272.715,0.05312,0.99745,1,0.01156,0.000213009,0.000213009,0.000213009
17,288.325,0.03478,0.99745,1,0.00983,0.00020701,0.00020701,0.00020701
